Message Size (bytes),Time (seconds),
2,0.000911562,400
4,0.000260717,800
8,0.000164039,1600
16,0.00016443,3200
32,0.000161883,6400
64,0.000157875,12800
128,0.000158587,25600
256,0.000184351,51200
512,0.000177828,102400
1024,0.000243793,204800
2048,0.000223324,409600
4096,0.000700619,819200
