Message Size (bytes),Time (seconds)
2,0.018331
4,0.00355459
8,0.00281129
16,0.00286506
32,0.00288352
64,0.00391638
128,0.00304611
256,0.00309724
512,0.00309732
1024,0.00422924
2048,0.00334648
4096,0.00504839
