Message Size (bytes),Processes,Time (seconds), Bandwidth (bytes/second), Latency 
2,2,0.00014374613913.4,7.1873e-05
2,4,0.0004639794310.54,0.000115995
2,8,0.0005436563678.8,6.7957e-05
2,16,0.0005343413742.93,3.33963e-05
2,32,0.0008223182432.15,2.56974e-05
2,64,0.001208241655.3,1.88787e-05
4,2,4.41922e-0590513.7,2.20961e-05
4,4,0.0004332119233.37,0.000108303
4,8,0.0005395157414.06,6.74394e-05
4,16,0.000607976579.27,3.79981e-05
4,32,0.0007507915327.71,2.34622e-05
4,64,0.001031553877.66,1.61179e-05
8,2,5.14993e-05155342,2.57497e-05
8,4,0.0005856513660,0.000146413
8,8,0.00051949215399.7,6.49365e-05
8,16,0.00055283714470.8,3.45523e-05
8,32,0.00073362910904.7,2.29259e-05
8,64,0.0009401458509.33,1.46898e-05
16,2,6.22123e-05257184,3.11062e-05
16,4,0.00054827129182.6,0.000137068
16,8,0.00045167535423.7,5.64593e-05
16,16,0.00060419426481.6,3.77621e-05
16,32,0.0010504615231.5,3.28268e-05
16,64,0.0011043514488.1,1.72555e-05
32,2,4.19039e-05763652,2.0952e-05
32,4,0.00050973562777.7,0.000127434
32,8,0.00044092972574,5.51161e-05
32,16,0.00061400352117,3.83752e-05
32,32,0.00069014246367.3,2.15669e-05
32,64,0.00092788134487.2,1.44981e-05
64,2,0.000179425356695,8.97124e-05
64,4,0.000610939104757,0.000152735
64,8,0.000566629112949,7.08286e-05
64,16,0.00072481888298.1,4.53011e-05
64,32,0.00080418979583.3,2.51309e-05
64,64,0.0014593743854.6,2.28026e-05
128,2,0.0001122361.14046e+06,5.61178e-05
128,4,0.00053706238335,0.000134265
128,8,0.000326886391574,4.08607e-05
128,16,0.000570212224478,3.56382e-05
128,32,0.000477372268135,1.49179e-05
128,64,0.00108602117861,1.69691e-05
256,2,0.0001116592.29269e+06,5.58295e-05
256,4,0.000584744437798,0.000146186
256,8,0.000519251493017,6.49064e-05
256,16,0.000615187416134,3.84492e-05
256,32,0.000812284315161,2.53839e-05
256,64,0.00150608169978,2.35325e-05
512,2,8.3914e-056.10148e+06,4.1957e-05
512,4,0.0004895531.04585e+06,0.000122388
512,8,0.000548058934207,6.85073e-05
512,16,0.0004568291.12077e+06,2.85518e-05
512,32,0.000932525549047,2.91414e-05
512,64,0.000650247787394,1.01601e-05
1024,2,0.00010241e+07,5.11999e-05
1024,4,0.0004765482.14879e+06,0.000119137
1024,8,0.0004486762.28227e+06,5.60845e-05
1024,16,0.0004592972.2295e+06,2.8706e-05
1024,32,0.0007281721.40626e+06,2.27554e-05
1024,64,0.00111365919498,1.74008e-05
2048,2,0.0001459851.40289e+07,7.29924e-05
2048,4,0.0004743254.31771e+06,0.000118581
2048,8,0.0004631944.42147e+06,5.78993e-05
2048,16,0.001275141.6061e+06,7.9696e-05
2048,32,0.0007891872.59508e+06,2.46621e-05
2048,64,0.00880951232476,0.000137649
4096,2,0.0001050523.89901e+07,5.25261e-05
4096,4,0.000656376.24038e+06,0.000164093
4096,8,0.0004331719.45585e+06,5.41464e-05
4096,16,0.0004061931.00839e+07,2.5387e-05
4096,32,0.001035293.95639e+06,3.23527e-05
4096,64,0.001252283.27083e+06,1.95669e-05
