Message Size (bytes),Processes,Time (seconds), Bandwidth (bytes/second), Latency 
2048,16,0.000634725,3.23E+06,3.97E-05
2048,16,0.000508715,4.03E+06,3.18E-05
2048,32,0.000597098,3.43E+06,1.87E-05
2048,32,0.00089386,2.29E+06,2.79E-05
2048,64,0.00117751,1.74E+06,1.84E-05
2048,64,0.00105336,1.94E+06,1.65E-05
4096,2,0.000166733,2.46E+07,8.34E-05
4096,4,0.000445261,9.20E+06,0.000111315
4096,2,0.000102026,4.01E+07,5.10E-05
4096,4,0.000698268,5.87E+06,0.000174567
4096,8,0.000477328,8.58E+06,5.97E-05
4096,8,0.00126046,3.25E+06,0.000157558
4096,16,0.000727813,5.63E+06,4.55E-05
4096,16,0.000590389,6.94E+06,3.69E-05
4096,32,0.000856952,4.78E+06,2.68E-05
4096,32,0.000692487,5.91E+06,2.16E-05
4096,64,0.00165924,2.47E+06,2.59E-05
4096,64,0.00119971,3.41E+06,1.87E-05
