Message Size (bytes),Time (seconds)
2,0.0631493
4,0.00267124
8,0.00271413
16,0.00271071
32,0.0027542
64,0.0027672
128,0.00293881
256,0.00302933
512,0.00413646
1024,0.00306429
2048,0.00329943
4096,0.00454834
,
,
,
,
,
,
,
,
,
,
,
,
