Message Size (bytes),Time (seconds),Total Data Sent and Received (bytes)
2,0.000578068,400
4,4.80E-05,800
8,4.69E-05,1600
16,4.98E-05,3200
32,6.08E-05,6400
64,5.29E-05,12800
128,6.09E-05,25600
256,7.68E-05,51200
512,0.000107769,102400
1024,0.000140052,204800
2048,0.000162713,409600
4096,0.000615593,819200
